W0629 17:35:44.535000 39575 torch/distributed/run.py:851] 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0629 17:35:44.535000 39575 torch/distributed/run.py:851] *****************************************
============================================================
EXPERIMENT 1: Convergence study — 1024x1024
============================================================

Grid: 1024x1024 | Steps: 500 | Slab: 1024x256
------------------------------------------------------------
Step  800/1000 | Max Temp: 287.7 K | Convergence: 9.64e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  810/1000 | Max Temp: 287.7 K | Convergence: 9.52e-03 | Comm: 0.37ms | Overhead: 43.8%
Step  820/1000 | Max Temp: 287.6 K | Convergence: 9.41e-03 | Comm: 0.37ms | Overhead: 43.8%
Step  830/1000 | Max Temp: 287.6 K | Convergence: 9.31e-03 | Comm: 0.37ms | Overhead: 43.8%
Step  840/1000 | Max Temp: 287.6 K | Convergence: 9.20e-03 | Comm: 0.37ms | Overhead: 43.8%
Step  850/1000 | Max Temp: 287.6 K | Convergence: 9.09e-03 | Comm: 0.37ms | Overhead: 43.8%
Step  860/1000 | Max Temp: 287.6 K | Convergence: 8.99e-03 | Comm: 0.37ms | Overhead: 43.8%
Step  870/1000 | Max Temp: 287.6 K | Convergence: 8.88e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  880/1000 | Max Temp: 287.6 K | Convergence: 8.77e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  890/1000 | Max Temp: 287.6 K | Convergence: 8.67e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  900/1000 | Max Temp: 287.6 K | Convergence: 8.58e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  910/1000 | Max Temp: 287.6 K | Convergence: 8.48e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  920/1000 | Max Temp: 287.6 K | Convergence: 8.39e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  930/1000 | Max Temp: 287.6 K | Convergence: 8.30e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  940/1000 | Max Temp: 287.6 K | Convergence: 8.21e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  950/1000 | Max Temp: 287.6 K | Convergence: 8.13e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  960/1000 | Max Temp: 287.6 K | Convergence: 8.06e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  970/1000 | Max Temp: 287.6 K | Convergence: 7.97e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  980/1000 | Max Temp: 287.6 K | Convergence: 7.89e-03 | Comm: 0.37ms | Overhead: 43.7%
Step  990/1000 | Max Temp: 287.6 K | Convergence: 7.81e-03 | Comm: 0.37ms | Overhead: 43.7%
Step 1000/1000 | Max Temp: 287.6 K | Convergence: 7.74e-03 | Comm: 0.37ms | Overhead: 43.8%

Avg step: 0.84ms | Avg comm: 0.37ms | Overhead: 43.8% | Converged: No

============================================================
EXPERIMENT 3: Grid scaling — overhead vs grid size
============================================================

--- Grid: 1024x1024 ---

Grid: 1024x1024 | Steps: 50 | Slab: 1024x256
------------------------------------------------------------
Step   10/50 | Max Temp: 288.0 K | Convergence: 7.08e-01 | Comm: 0.35ms | Overhead: 37.7%
Step   20/50 | Max Temp: 288.0 K | Convergence: 3.81e-01 | Comm: 0.34ms | Overhead: 40.8%
Step   30/50 | Max Temp: 288.0 K | Convergence: 2.47e-01 | Comm: 0.34ms | Overhead: 41.8%
Step   40/50 | Max Temp: 288.0 K | Convergence: 1.91e-01 | Comm: 0.35ms | Overhead: 37.9%
Step   50/50 | Max Temp: 288.0 K | Convergence: 1.52e-01 | Comm: 0.35ms | Overhead: 38.9%

Avg step: 0.89ms | Avg comm: 0.35ms | Overhead: 38.9% | Converged: No

--- Grid: 2048x2048 ---

Grid: 2048x2048 | Steps: 50 | Slab: 2048x512
------------------------------------------------------------
Step   10/50 | Max Temp: 288.0 K | Convergence: 6.93e-01 | Comm: 0.35ms | Overhead: 43.8%
Step   20/50 | Max Temp: 288.0 K | Convergence: 3.80e-01 | Comm: 0.35ms | Overhead: 44.1%
Step   30/50 | Max Temp: 288.0 K | Convergence: 2.46e-01 | Comm: 0.39ms | Overhead: 47.2%
Step   40/50 | Max Temp: 288.0 K | Convergence: 1.90e-01 | Comm: 0.38ms | Overhead: 46.4%
Step   50/50 | Max Temp: 288.0 K | Convergence: 1.51e-01 | Comm: 0.37ms | Overhead: 46.0%

Avg step: 0.81ms | Avg comm: 0.37ms | Overhead: 46.0% | Converged: No

--- Grid: 4096x4096 ---

Grid: 4096x4096 | Steps: 50 | Slab: 4096x1024
------------------------------------------------------------
Step   10/50 | Max Temp: 288.0 K | Convergence: 6.86e-01 | Comm: 0.53ms | Overhead: 38.8%
Step   20/50 | Max Temp: 288.0 K | Convergence: 3.79e-01 | Comm: 0.44ms | Overhead: 38.0%
Step   30/50 | Max Temp: 288.0 K | Convergence: 2.45e-01 | Comm: 0.41ms | Overhead: 37.4%
Step   40/50 | Max Temp: 288.0 K | Convergence: 1.90e-01 | Comm: 0.39ms | Overhead: 37.2%
Step   50/50 | Max Temp: 288.0 K | Convergence: 1.51e-01 | Comm: 0.38ms | Overhead: 37.0%

Avg step: 1.03ms | Avg comm: 0.38ms | Overhead: 37.0% | Converged: No

--- Grid: 8192x8192 ---

Grid: 8192x8192 | Steps: 50 | Slab: 8192x2048
------------------------------------------------------------
Step   10/50 | Max Temp: 288.0 K | Convergence: 6.82e-01 | Comm: 0.37ms | Overhead: 14.0%
Step   20/50 | Max Temp: 288.0 K | Convergence: 3.79e-01 | Comm: 0.36ms | Overhead: 14.0%
Step   30/50 | Max Temp: 288.0 K | Convergence: 2.45e-01 | Comm: 0.37ms | Overhead: 14.3%
Step   40/50 | Max Temp: 288.0 K | Convergence: 1.90e-01 | Comm: 0.37ms | Overhead: 14.3%
Step   50/50 | Max Temp: 288.0 K | Convergence: 1.51e-01 | Comm: 0.36ms | Overhead: 14.2%

Avg step: 2.56ms | Avg comm: 0.36ms | Overhead: 14.2% | Converged: No

============================================================
Generating figures...
Saved: outputs/fig1_convergence.png
Saved: outputs/fig2_grid_scaling.png

Grid scaling summary:
    Grid |   Overhead |  Step (ms) |  Comm (ms)
------------------------------------------------
    1024 |      38.9% |       0.89 |       0.35
    2048 |      46.0% |       0.81 |       0.37
    4096 |      37.0% |       1.03 |       0.38
    8192 |      14.2% |       2.56 |       0.36
